event_id,symbol,underlying,ex_date,decision_ts,ledger_gross_dividend,ledger_announcement_date,api_announcement_date,api_gross_dividend,audit_status,primary_review_status,source_fetched_at,predecision_publication_verified,primary_source_url,primary_source_published_date,primary_declared_amount
rCLOI-2026-08-03-1,rCLOI,CLOI,2026-08-03,2026-07-31T23:34:00+00:00,0.21529999,2026-07-31,2026-07-31,0.2152999900000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rHYS-2026-08-03-1,rHYS,HYS,2026-08-03,2026-07-31T23:37:00+00:00,0.55000001,2026-07-31,2026-07-31,0.5500000100000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSGOV-2026-08-03-1,rSGOV,SGOV,2026-08-03,2026-07-31T23:59:00+00:00,0.30681199,2026-07-31,2026-07-31,0.3068119900000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITI-2026-09-01-1,rBITI,BITI,2026-09-01,2026-08-31T23:59:00+00:00,0.376238,2026-08-31,2026-08-31,0.3762380000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITO-2026-09-01-1,rBITO,BITO,2026-09-01,2026-08-31T23:59:00+00:00,0.01081,2026-08-31,2026-08-31,0.0108100000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCLOI-2026-09-01-1,rCLOI,CLOI,2026-09-01,2026-08-31T23:41:00+00:00,0.2247,2026-08-31,2026-08-31,0.2247000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rHYS-2026-09-01-1,rHYS,HYS,2026-09-01,2026-08-31T23:30:00+00:00,0.49,2026-08-31,2026-08-31,0.4900000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSGOV-2026-09-01-1,rSGOV,SGOV,2026-09-01,2026-08-31T23:59:00+00:00,0.307098,2026-08-31,2026-08-31,0.3070980000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rKO-2026-09-15-1,rKO,KO,2026-09-15,2026-09-14T23:59:00+00:00,0.53,2026-07-15,2026-07-15,0.5300000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rMO-2026-09-15-1,rMO,MO,2026-09-15,2026-09-14T23:59:00+00:00,1.11,2026-08-27,2026-08-27,1.1100000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
